低密度影:1/2大脑半球, 低密度影>1/3大脑半球
低密度影:2/3大脑半球, 低密度影>1/3大脑半球
尿量:0.4 ml/(kg•h)13小时, 尿量<0.5ml/(kg•h)持续时间>12小时
尿量:0.4ml/(kg•h)6小时, 尿量<0.5ml/(kg•h)持续时间[6小时-12小时)
尿量:0.4ml/(kg•h)12小时, 尿量<0.5ml/(kg•h)持续时间[6小时-12小时)
尿量:0.2ml/(kg•h)24小时, 尿量<0.3ml/(kg•h)>=24小时
尿量:0.2ml/(kg•h)25小时, 尿量<0.3ml/(kg•h)>=24小时
肝脏肿瘤数3个, 肝脏肿瘤数2-3个
乙型肝炎病毒表面抗原阳性, HBsAg阳性
早7:01-晚10:59快速血糖水平69mg/dl, 早7:01-晚10:59快速血糖水平<70mg/dl
血嗜酸性粒细胞5%, 血嗜酸性粒细胞>4%
需较高的葡萄糖输液速度才能维持血糖>60mg/dl, 需较高的葡萄糖输液速度才能维持血糖>60mg/dl
尿培养细菌菌落计数10E3CFU/ml, 尿培养细菌菌落计数>=10E3CFU/ml
尿培养细菌菌落计数11E3CFU/ml, 尿培养细菌菌落计数>=10E3CFU/ml
月经初潮后1年, 距月经初潮<2年
既往有尿路感染体温:38.6°C病史, 既往有尿路感染体温>38.5°C病史
癫痫发作持续15分钟, 癫痫发作持续<=15分钟
癫痫发作持续14分钟, 癫痫发作持续<=15分钟
癫痫发作持续10分钟, 癫痫发作持续<=10分钟
癫痫发作持续9分钟, 癫痫发作持续<=10分钟
ANA检测1U, ANA检测[1U-3U]
6个月内体重下降>10%, 6个月内体重下降>10%
月经初潮后3年, >月经初潮后2年
血嗜酸性粒细胞5%, 血嗜酸性粒细胞>=4%
治疗后原有肿瘤减少50%4周, 治疗后原有肿瘤减少50%维持4周以上
治疗后原有肿瘤减少51%4周, 治疗后原有肿瘤减少50%维持4周以上
治疗后原有肿瘤减少50%5周, 治疗后原有肿瘤减少50%维持4周以上
治疗后原有肿瘤减少51%5周, 治疗后原有肿瘤减少50%维持4周以上
雌二醇36pg/ml月经周期第3天, 月经周期第3天雌二醇>35pg/ml
FSH:11IU/L月经周期第3天, 月经周期第3天FSH>10IU/L
PSA水平变化率0.7nm/ml1年, 一年内PSA速率>=0.7ng/ml
PSA水平变化率0.7ng/ml1年, 一年内PSA水平变化率>=0.7ng/ml
血清碱性磷酸酶>2.5倍正常值上限, 血清碱性磷酸酶>2.5倍正常值上限
谷草转氨酶>1.5倍正常值上限血清, 血清谷草转氨酶>1.5倍正常值上限血清
谷丙转氨酶>1.5倍正常值上限, 血清谷丙转氨酶>1.5倍正常值上限
谷丙转氨酶>1.5倍正常值上限, 血清ALT>1.5倍正常值上限
确诊肾癌时年龄<=46岁, 确诊肾癌时年龄<=46岁
基线PSA值>4.0ng/ml且一年内PSA值升高>=0.75ng/ml, 基线PSA值>4.0ng/ml且一年内PSA值升高>=0.75ng/ml
基线PSA值<=4.0ng/ml且一年内PSA值升高>=0.4ng/ml, 基线PSA值<=4.0ng/ml且一年内PSA值升高>=0.4ng/ml
过夜血氧饱和度监测每小时血氧饱和度下降>=4%的事件数>=30次, 过夜血氧饱和度监测每小时血氧饱和度下降>=4%的事件数>=30次
过夜血氧饱和度监测记录中血氧饱和度<=88%累计的时间与总监测时间的比值>=15%, 过夜血氧饱和度监测记录中血氧饱和度<=88%累计的时间与总监测时间的比值>=15%
梅毒阴性1年, 过去1年内检查梅毒阴性
梅毒阴性11月, 过去1年内检查梅毒阴性
骨密度T值下降>5%, 骨密度T值下降>5%
骨密度T值下降<=5%, 骨密度T值下降<=5%
估计原有肿瘤增大不到25%, 估计原有肿瘤增大不到25%
估计原有肿瘤减少不足50%, 估计原有肿瘤减少不足50%
发病年龄[50岁-60岁), 发病年龄[50岁-60岁)
